bathrooms,detailedType.subTypology,detailedType.typology,district,exterior,floor,has360,has3DTour,hasLift,hasPlan,hasStaging,hasVideo,highlight.groupDescription,municipality,newDevelopment,newDevelopmentFinished,numPhotos,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,parkingSpace.parkingSpacePrice,propertyType,rooms,showAddress,size,status,topPlus,floor_cat,has_neighborhood,has_Discount,terraza,atico,garaje,ascensor,espaciosa,luminoso,reformado,obra_nueva,céntrico,interior,antiguo,a_reformar,sin_ascensor,okupa,oscuro,pequeño,mal_ubicado,cercano_metro,cercano_supermercado,cercano_colegio,cercano_hospital,cercano_farmacia,cercano_mall,cercano_correos,cercano_policia,cercano_cultural,gimnasio,piscina,padel,zonas_comunes,parque,score_final,distancia_al_centro,size_per_room,amenities_score,zona_cluster
1,1,2,118,1,2.0,1,0,0,1,0,1,3,2,0,0,4,0,0,28000.0,3,4,0,82.0,0,0,1,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,19,2.9682524642547623,20.5,23,23
1,1,2,163,1,2.0,0,0,0,1,0,0,3,29,0,0,1,1,1,0.0,3,1,0,42.0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,15,13.250810065438548,42.0,18,42
2,4,0,204,0,0.0,0,0,0,0,0,0,3,7,0,0,0,1,1,0.0,0,3,0,524.0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,10,69.44890512125819,174.66666666666666,11,8
1,1,2,126,0,4.0,0,0,1,1,0,1,0,2,0,0,4,0,0,28000.0,3,2,0,49.0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,14,1.3823979896493273,24.5,17,17
4,6,0,186,0,0.0,0,0,0,0,0,0,3,7,0,0,4,1,1,0.0,0,4,0,290.0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,17,22.019940672600413,72.5,18,28
1,1,2,118,1,2.0,0,0,0,0,0,0,3,2,0,0,5,0,0,28000.0,3,2,0,60.0,2,0,1,1,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,16,6.775452867608801,30.0,17,23
4,4,0,175,0,0.0,0,0,0,0,1,0,0,14,0,0,4,1,1,0.0,0,5,0,590.0,2,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,7,31.92851898187407,118.0,9,6
1,1,2,22,1,4.0,0,0,0,0,0,0,3,2,0,0,2,0,0,28000.0,3,3,0,60.0,2,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,16,3.3986283384509672,20.0,17,23
1,1,2,101,1,2.0,0,0,0,0,0,0,0,2,0,0,2,0,0,28000.0,3,2,0,53.0,2,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,7,7.670097026020982,26.5,8,32
1,1,2,204,1,4.0,0,0,0,0,0,0,3,7,0,0,4,0,0,28000.0,3,3,1,70.0,0,0,1,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,22,30.462049977423906,23.33333333333333,23,43
1,1,2,227,1,0.0,0,0,1,0,0,0,3,0,0,0,2,0,0,28000.0,3,3,0,61.0,0,0,2,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,9,36.59038781200973,20.33333333333333,11,47
1,1,2,204,1,1.0,0,0,1,0,0,0,0,4,0,0,3,0,0,28000.0,3,3,0,85.0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6,14.869879580719246,28.33333333333333,8,33
2,1,2,109,0,1.0,0,1,1,0,0,1,0,2,0,0,6,0,0,28000.0,3,4,0,112.0,2,0,1,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,2.057387321442104,28.0,10,18
3,5,2,137,1,4.0,0,1,1,1,0,1,2,2,0,0,4,1,1,0.0,4,4,0,493.0,2,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,25,6.842978150150156,123.25,31,32
4,4,0,201,0,0.0,0,0,0,1,0,1,3,7,0,0,3,1,1,0.0,0,5,0,396.0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,12,46.39927198846285,79.2,15,11
1,1,2,137,1,2.0,0,0,1,0,0,0,3,2,0,0,2,0,0,28000.0,3,2,0,72.0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5.807553641787814,36.0,8,39
2,1,2,223,1,7.0,1,0,1,1,1,1,2,2,0,0,4,1,1,0.0,3,3,0,158.0,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,15,4.420928824422331,52.66666666666666,22,39
1,1,2,137,1,1.0,0,0,1,0,0,1,0,2,0,0,3,0,0,28000.0,3,2,0,57.0,2,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,6.58916687554972,28.5,14,10
4,6,0,13,0,0.0,0,0,0,1,0,0,3,30,0,0,4,1,1,0.0,0,4,0,250.0,2,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,14,13.06425842964884,62.5,16,48
2,1,2,34,1,0.0,0,0,1,1,0,0,3,2,1,0,3,1,1,0.0,3,2,1,159.0,1,0,2,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,8,15.09349282602278,79.5,13,45
1,1,2,114,0,1.0,1,0,0,1,0,0,1,2,0,0,3,0,0,28000.0,3,1,0,35.0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,9,3.250080501231264,35.0,11,39
2,5,2,126,1,6.0,0,0,1,0,0,0,3,2,0,0,1,0,0,28000.0,4,2,0,137.0,0,0,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,15,1.5628300464384286,68.5,17,17
4,4,0,150,0,0.0,0,0,0,0,0,0,1,31,0,0,3,1,1,0.0,0,5,0,495.0,0,0,1,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,15,27.78777244025513,99.0,16,27
1,3,2,15,1,3.0,0,0,1,1,0,0,3,2,0,0,3,1,1,0.0,2,2,0,65.0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,10,5.458138474081963,32.5,14,32
2,1,2,15,1,3.0,0,1,1,1,1,1,2,2,0,0,4,0,0,28000.0,3,2,0,103.0,0,1,1,1,0,1,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3.639565741550167,51.5,15,17
